38;10.167.89.250;789;AGE789
91;10.166.6.250;606;AGE606
139;10.168.45.250;845;AGE845
151;10.161.21.250;121;AGE121
160;10.160.92.250;92;AGE092
254;10.160.54.254;54;AGE054
255;10.160.74.250;74;AGE074
312;10.160.35.250;35;AGE035
336;10.168.69.251;869;AGE869
388;10.170.16.250;1016;AGE1016
423;10.160.90.254;90;AGE090
430;10.163.2.250;302;AGE302
434;10.166.14.250;614;AGE614
468;10.160.67.254;67;AGE067
471;10.167.70.250;770;AGE770
478;10.162.97.254;297;AGE297
479;10.161.17.250;117;AGE117
481;10.164.24.254;424;AGE424
482;10.164.25.250;425;AGE425
484;10.164.5.250;405;AGE405
485;10.164.8.250;408;AGE408
486;10.164.6.250;406;AGE406
488;10.164.2.250;402;AGE402
533;10.164.26.250;426;AGE426
534;10.164.38.250;438;AGE438
535;10.164.26.251;426;AGE426
558;10.162.74.250;274;AGE274
559;10.160.61.250;61;AGE061
570;10.164.40.250;440;AGE440
571;10.164.29.250;429;AGE429
572;10.164.36.250;436;AGE436
573;10.164.13.250;413;AGE413
574;10.164.43.250;443;AGE443
577;10.164.42.250;442;AGE442
578;10.164.31.250;431;AGE431
579;10.164.30.250;430;AGE430
580;10.161.69.250;169;AGE169
581;10.164.27.250;427;AGE427
589;10.166.79.250;679;AGE679
595;10.160.79.250;79;AGE079
598;10.162.88.250;288;AGE288
602;10.160.44.250;44;AGE044
603;10.160.151.250;445;AGE445
614;10.164.56.250;456;AGE456
642;10.162.7.250;207;AGE207
676;10.165.30.251;530;AGE530
681;10.162.73.250;273;AGE273
697;10.168.14.250;814;AGE814
731;10.168.75.250;875;AGE875
765;10.161.23.250;123;AGE123
766;10.165.37.250;537;AGE537
808;10.165.36.250;536;AGE536
820;10.161.11.250;111;AGE111
825;10.168.28.250;828;AGE828
834;10.160.64.250;64;AGE064
836;10.162.4.250;204;AGE204
850;10.160.6.250;6;AGE6
948;10.160.27.250;27;AGE027
967;10.167.24.250;724;AGE724
982;10.166.3.250;603;AGE603
1005;10.164.3.250;403;AGE403
1006;10.163.71.250;371;AGE371
1007;10.163.75.250;375;AGE375
1049;10.167.5.250;705;AGE705
1056;10.160.50.250;50;AGE050
1084;10.165.93.250;593;AGE593
1176;10.168.11.250;811;AGE811
1205;10.162.89.250;289;AGE289
1231;10.164.99.250;499;AGE499
1255;10.161.25.250;125;AGE125
1264;10.166.1.250;601;AGE601
1268;10.165.88.250;588;AGE588
1274;10.163.68.250;368;AGE368
1278;10.161.58.250;158;AGE158
1291;10.160.20.250;20;AGE020
1296;10.165.182.250;582b;AGE582b
1297;10.165.57.250;557;AGE557
1300;10.161.53.250;153;AGE153
1336;10.164.15.250;415;AGE415
1337;10.166.13.250;613;AGE613
1350;10.166.69.250;669;AGE669
1354;10.161.39.250;139;AGE139
1357;10.165.7.250;507;AGE507
1358;10.160.51.250;51;AGE051
1367;10.164.96.250;496;AGE496
1376;10.165.30.250;530;AGE530
1381;10.163.96.250;396;AGE396
1385;10.167.33.250;733;AGE733
1389;10.164.75.250;475;AGE475
1390;10.162.75.250;275;AGE275
1394;10.162.67.250;267;AGE267
1401;10.166.59.250;659;AGE659
1403;10.162.6.250;206;AGE206
1410;10.160.84.250;84;AGE084
1452;10.162.58.250;258;AGE258
1457;10.167.7.250;707;AGE707
1474;10.166.33.250;633;AGE633
1476;10.166.7.250;607;AGE607
1488;10.160.47.250;47;AGE047
1508;10.160.95.250;95;AGE095
1519;10.164.32.250;432;AGE432
1524;10.164.45.250;445;AGE445
1532;10.165.78.250;578;AGE578
1556;10.162.36.250;236;AGE236
1566;10.160.151.251;445;AGE445
1571;10.167.77.250;777;AGE777
1575;10.161.33.250;133;AGE133
1576;10.167.53.250;753;AGE753
1577;10.167.91.250;791;AGE791
1583;10.161.76.250;176;AGE176
1586;10.168.11.251;811;AGE811
1595;10.165.73.250;573;AGE573
1596;10.167.21.250;721;AGE721
1598;10.160.24.250;24;AGE024
1604;10.165.144.250;432b;AGE432b
1632;10.167.57.250;757;AGE757
1637;10.160.98.250;98;AGE098
1648;10.162.40.250;240;AGE240
1667;10.167.6.250;706;AGE706
1679;10.165.25.250;525;AGE525
1681;10.165.94.250;594;AGE594
1683;10.163.69.250;369;AGE369
1686;10.168.4.250;804;AGE804
1696;10.163.8.250;308;AGE308
1697;10.163.98.250;398;AGE398
1705;10.167.2.250;702;AGE702
1724;10.164.88.250;488;AGE488
1725;10.161.19.250;119;AGE119
1732;10.162.31.250;231;AGE231
1743;10.165.97.250;597;AGE597
1745;10.163.20.250;320;AGE320
1754;10.166.84.250;684;AGE684
1755;10.162.72.250;272;AGE272
1758;10.163.4.250;304;AGE304
1759;10.165.11.250;511;AGE511
1760;10.166.49.250;649;AGE649
1761;10.163.40.250;340;AGE340
1762;10.168.17.250;817;AGE817
1763;10.165.26.250;526;AGE526
