Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1431	2140	RENAP FLORES PETEN	TELERED		512	230.00
1030	22178	DIRECCION GENERAL DE AERONAUTICA CIVIL	TELERED	290900002	256	165.00
1172	576	TANQUE LA UNION ANTIGUA	TELERED	8900028	256	239.00
250	178	AEROPUERTO	TELERED	8900235	256	165.00
41	139	AGENCIA ZONA 19	TELERED	8900236	256	165.00
43	13	MONJA BLANCA	TELERED	8900237	256	165.00
18	115	AG. ZONA11	TELERED	8900238	256	165.00
37	135	AGENCIA ZONA 5	TELERED	8900239	256	165.00
40	138	AGENCIA MIXCO	TELERED	8900240	256	165.00
36	134	AGENCIA ZONA 7	TELERED	8900241	256	165.00
315	237	BOCA DEL MONTE	TELERED	8900242	256	165.00
333	244	HOSPITAL ROOSEVELT	TELERED	8900243	256	165.00
229	153	SAN CRISTOBAL	TELERED	8900244	256	165.00
402	213	MERCADO LA PARROQUIA	TELERED	8900245	256	165.00
401	211	MERCADO LA FLORIDA	TELERED	8900246	256	165.00
411	260	MERCADO SAN JOSE MERCANTIL	TELERED	8900247	256	165.00
416	257	AUTOBANCO - PETAPA	TELERED	8900248	256	165.00
204	185	IGSS CENTRAL	TELERED	8900251	256	165.00
213	188	IGSS ZONA 5	TELERED	8900252	256	165.00
199	192	IGSS MONTE REAL	TELERED	8900253	256	165.00
234	190	IGSS ZONA 11	TELERED	8900254	256	165.00
238	731	IGSS EXPRESS ZONA 6	TELERED	8900255	256	165.00
38	136	AGENCIA ZONA 18	TELERED	8900258	256	165.00
10	109	ROOSEVELTH	TELERED	8900259	256	165.00
286	228	SAT ZONA 9	TELERED	8900260	256	165.00
236	183	PRISA	TELERED	8900261	256	165.00
254	173	19 CALLE	TELERED	8900263	256	165.00
403	256	USAC	TELERED	8900264	256	165.00
457	263	MERCADO LA PRESIDENTA	TELERED	8900265	256	165.00
456	276	MERCADO COLON	TELERED	8900266	256	165.00
468	278	MERCADO LA REFORMITA	TELERED	8900267	256	165.00
78	175	ORGANISMO JUDICIAL	TELERED	8900269	256	165.00
503	309	IPM	TELERED	8900270	512	239.00
34	132	AGENCIA ZONA 6 (MARTI)	TELERED	8900272	256	165.00
516	300	INFOM	TELERED	8900273	256	165.00
248	170	C.D.R.O	TELERED	8900274	256	230.00
246	140	FLORES	TELERED	8900275	256	230.00
237	14	TECPAN	TELERED	8900276	256	230.00
138	5	GUASTATOYA	TELERED	8900279	256	230.00
258	201	SALCAJA	TELERED	8900280	256	230.00
260	157	SAT - JALAPA	TELERED	8900281	256	230.00
641	2221	ANEXO SANTA LUCIA COTZ	TELERED	8900282	256	230.00
261	194	IGSS PAMPLONA	TELERED	8900283	256	165.00
294	227	SANTO TOMAS DE CASTILLA	TELERED	8900284	256	230.00
103	31	EL QUICHE	TELERED	8900287	256	230.00
307	233	ALMOLONGA	TELERED	8900288	256	230.00
