Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
320	250	AUTOBANCO - ROOSEVELT	NAVEGA	1134	128	112.00
689	1012	EEGSA	NAVEGA	1138	128	112.00
346	104	ADUANA PUERTO BARRIOS	NAVEGA	1140	128	270.00
347	105	ADUANA SANTO TOMAS DE CASTILLA	NAVEGA	1142	128	270.00
363	6	ZACAPA	NAVEGA	1144	512	515.20
364	7	CHIQUIMULA	NAVEGA	1145	256	302.40
369	8	ESQUIPULAS	NAVEGA	1147	256	302.40
357	42	IPALA	NAVEGA	1148	128	270.00
1181	37	ASUNCION MITA	NAVEGA	1149	256	302.40
368	4	JUTIAPA	NAVEGA	1150	512	515.20
367	2	BARBERENA	NAVEGA	1151	512	515.20
361	3	JALAPA	NAVEGA	1152	128	270.00
334	83	ESCUINTLA	NAVEGA	1154	512	515.20
359	191	IGSS SANTA LUCIA COTZUMALGUAPA	NAVEGA	1155	128	270.00
354	19	NUEVA CONCEPCION	NAVEGA	1156	256	302.40
366	12	COBAN	NAVEGA	1158	256	302.40
355	28	MAZATENANGO	NAVEGA	1159	512	515.20
348	27	RETALHULEU	NAVEGA	1161	128	270.00
350	34	QUETZALTENANGO	NAVEGA	1162	512	515.20
382	1001	2do. REGISTRO DE LA PROPIEDAD	NAVEGA	1163	128	270.00
642	347	SAN PEDRO SACATEPEQUEZ	NAVEGA	11635	128	270.00
371	26	COATEPEQUE	NAVEGA	1164	256	302.40
339	102	ADUANA TECUN UMAN	NAVEGA	1165	128	270.00
370	23	SAN PEDRO SAN MARCOS	NAVEGA	1166	512	515.20
351	97	HUEHUETENANGO AGENCIA TRIBUTARIA	NAVEGA	1167	128	270.00
591	281	SUMPANGO	NAVEGA	11713	128	270.00
678	1002	INTERNET	NAVEGA	11946	4096	2654.40
323	247	ZONA FRANCA	NAVEGA	1198	256	145.60
679	1011	EDICIO BANRURAL - OFICINAS CENTRALES	NAVEGA	11988	102400	4200.00
655	298	EL FRUTAL	NAVEGA	12038	256	145.60
670	359	DESPENSA CUYOTENANGO	NAVEGA	12271	128	270.00
360	249	AUTOBANCO - QUETZALTENANGO	NAVEGA	1236	128	270.00
685	171	CUBULCO	NAVEGA	12516	256	302.40
1476	369	CATARINA	NAVEGA	12527	128	270.00
692	377	SALA DE CONTEO	NAVEGA	12648	256	145.60
697	374	MERCADO TECPAN	NAVEGA	12649	128	270.00
700	373	SUPERMERCADO LA ESTRELLA	NAVEGA	12691	128	270.00
630	437	CHIQUIMULA 8A AVENIDA	NAVEGA	13096	256	302.40
936	442	AUTOBANCO NEBAJ 2	NAVEGA	13097	128	270.00
