Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1930	3229	MINI MUNI SAN MIGUEL PETAPA	INNOTECHSA		1024	257.60
1959	278	MERCADO LA REFORMITA	INNOTECHSA		1024	257.60
1967	528	GASOLINERA SCOTT EL JOCOTILLO	INNOTECHSA		1024	0.00
1983	695	MINI MUNI CUBIL	INNOTECHSA		1024	0.00
1960	783	REGISTRO GENERAL DE LA PROPIEDAD	INNOTECHSA		1024	257.60
1932	791	AUTOBANCO MEGAPLAZA	INNOTECHSA		1024	257.60
1950	885	METROTECH XELA	INNOTECHSA		1024	257.60
1985	2225	MERCADO EL GUARDA	INNOTECHSA		1024	257.60
1919	2236	COLEGIO DE PSICOLOGOS	INNOTECHSA		2048	492.80
1918	2334	COLEGIO DE CONTADORES PUBLICOS Y AUDITORES	INNOTECHSA		2048	492.80
1940	2432	CENTRO COMERCIAL PASEO CARNAVAL	INNOTECHSA		1024	257.60
1942	2458	MEGAPACA TECULUTAN	INNOTECHSA		0	0.00
1956	2726	METROTECH AGUILAR BATRES	INNOTECHSA		1024	257.60
1966	506	HORCONES 	INNOTECHSA		1024	0.00
1867	408	CALZADA AGUILAR BATRES	INNOTECHSA	5001178	6144	1075.20
1868	414	ROOSEVELT 2	INNOTECHSA	5001179	6144	1075.20
1895	424	VILLA NUEVA 2	INNOTECHSA	5001268	6144	1075.20
1892	406	VILLA DE GUADALUPE	INNOTECHSA	5001269	6144	1075.20
1901	721	TERMINAL QUICHE	INNOTECHSA	5001271	6144	1075.20
1874	22	SOLOLA	INNOTECHSA	5001272	6144	1075.20
1897	430	SANTA ELENA 4A CALLE	INNOTECHSA	5001273	6144	1075.20
1876	62	SAN LUIS	INNOTECHSA	5001274	6144	1075.20
1900	669	PASEO DE LAS AMERICAS XELA	INNOTECHSA	5001276	6144	1075.20
1884	275	MAZATENANGO PLAZA AMERICA	INNOTECHSA	5001278	6144	1075.20
1886	309	IPM	INNOTECHSA	5001280	6144	1075.20
1875	32	HUEHUETENANGO	INNOTECHSA	5001281	6144	1075.20
1878	148	COLONIAL ANTIGUA	INNOTECHSA	5001283	6144	1075.20
1877	124	COBAN IMPERIAL	INNOTECHSA	5001284	6144	1075.20
1881	162	CAMOJA	INNOTECHSA	5001285	6144	1075.20
1871	2	BARBERENA	INNOTECHSA	5001287	6144	1075.20
1891	404	AVENIDA PETAPA	INNOTECHSA	5001288	6144	1075.20
1885	283	AUTOBANCO ZACAPA TAMARINDAL	INNOTECHSA	5001289	6144	1075.20
1880	160	AUTOBANCO TEXACO CHIQUIMULA	INNOTECHSA	5001290	6144	1075.20
1903	777	AUTOBANCO SAN MARCOS	INNOTECHSA	5001292	6144	1075.20
1879	152	AUTOBANCO PROGRESO JUTIAPA	INNOTECHSA	5001293	6144	1075.20
1898	477	AUTOBANCO LA RUIDOSA	INNOTECHSA	5001294	6144	1075.20
1899	530	AUTOBANCO CHIMALTENANGO	INNOTECHSA	5001295	6144	1075.20
1870	1	ANTIGUA GUATEMALA	INNOTECHSA	5001297	6144	1075.20
1889	340	2 CALLE ZONA 9	INNOTECHSA	5001298	6144	1075.20
1896	428	SALAMA 5A AVENIDA	INNOTECHSA	5001299	6144	1075.20
1890	384	CENTRO COMERCIAL MONTUFAR	INNOTECHSA	5001300	6144	1075.20
1904	887	AUTOBANCO CONDADO SAN CRISTOBAL TOTONICAPAN	INNOTECHSA	5001301	6144	1075.20
1888	329	AUTOBANCO COATEPEQUE	INNOTECHSA	5001302	6144	1075.20
1882	189	IGSS ZONA 6	INNOTECHSA	5001303	6144	1075.20
1873	15	CHIQUIMULILLA	INNOTECHSA	5001304	6144	1075.20
1872	4	JUTIAPA	INNOTECHSA	5001305	6144	1075.20
1964	836	MEGAPACA CENTRAL	INNOTECHSA	5001603	0	0.00
