Enlace	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo
1538	258	LA LIBERTAD	TELNOR		128	250.00
1594	231	SAN PABLO SAN MARCOS	TELNOR		128	250.00
1978	328	LA LIBERTAD HUEHUETENANGO	TELNOR		128	375.00
1494	338	SAN ANTONIO ILOTENANGO	TELNOR		128	250.00
1934	480	CEMEX TECUM UMAN	TELNOR		128	250.00
1457	560	SANTA APOLONIA	TELNOR		128	250.00
1174	609	EL ASINTAL	TELNOR		128	375.00
1933	121	CHICHICASTENANGO	TELNOR		128	375.00
1497	116	TODOS SANTOS HUEHUETENANGO	TELNOR		128	250.00
1130	617	SANTA LUCIA LA REFORMA	TELNOR		128	375.00
1220	678	SAN ANTONIO PALOPO	TELNOR		128	375.00
1449	695	MINI MUNI CUBIL	TELNOR		128	375.00
1952	1027	MOVIL 7	TELNOR		128	375.00
1498	56	SAN ANTONIO HUISTA	TELNOR		128	250.00
1791	53	JOYABAJ	TELNOR		128	250.00
989	1026	MOVIL AUTODIRECCIONABLE	TELNOR	22001	256	375.00
891	17	SANTA ELENA	TELNOR	22017	128	250.00
577	45	LA MESILLA	TELNOR	22045	128	250.00
1322	50	RAXRUJA	TELNOR	22050	128	250.00
1453	64	LAS CRUCES	TELNOR	22064	128	250.00
791	101	ADUANA SAN CRISTOBAL	TELNOR	22101	128	250.00
793	103	ADUANA EL CARMEN	TELNOR	22103	128	250.00
1613	471	POLOGUA	TELNOR	22130	128	250.00
907	68	JALPATAGUA	TELNOR	22134	128	250.00
1336	149	SANTA EULALIA	TELNOR	22149	128	250.00
86	182	SAN MIGUEL ACATAN	TELNOR	22164	128	375.00
1372	485	SAN JORGE ZACAPA	TELNOR	22170	128	250.00
263	123	TUCURU	TELNOR	22184	128	375.00
1349	44	LA TINTA	TELNOR	22185	128	250.00
1787	254	SENAHU	TELNOR	22188	128	375.00
1566	122	CAHABON	TELNOR	22189	128	375.00
744	354	CHAHAL	TELNOR	22193	128	375.00
877	383	LAS ESCOBAS	TELNOR	22196	128	375.00
805	238	ZACUALPA	TELNOR	22199	128	250.00
1466	222	SAN ANDRES SAJCABAJA	TELNOR	22201	128	375.00
579	200	CHAJUL	TELNOR	22205	128	250.00
1545	316	SAN JOSE POAQUIL	TELNOR	22207	128	250.00
1350	487	CONCEPCION CHIQUIRICHAPA	TELNOR	22216	128	250.00
730	243	LANQUIN	TELNOR	22219	128	375.00
974	510	SAN JOSE LA ARADA	TELNOR	22261	128	375.00
1309	529	TAMAHU	TELNOR	22285	128	375.00
1021	528	GASOLINERA SCOTT EL JOCOTILLO	TELNOR	22315	128	375.00
932	533	AUTOBANCO PLAYA GRANDE	TELNOR	22533	128	250.00
1814	581	EL ADELANTO	TELNOR	22634	128	375.00
1799	584	JEREZ	TELNOR	22641	128	375.00
1846	897	PIEDRA BLANCA GUALAN	TELNOR	22642	128	375.00
834	1007	TELNOR / NOC	TELNOR	29190	1024	550.00
831	1021	MOVIL 1	TELNOR	29191	128	375.00
832	1022	MOVIL 3	TELNOR	29193	128	375.00
833	1023	MOVIL 4	TELNOR	29194	128	375.00
887	1024	MOVIL 5	TELNOR	29195	128	375.00
888	1025	MOVIL 6	TELNOR	29196	128	375.00
