Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1840	1	10001	RENAP ANTIGUA GUATEMALA	TELERED	8901934	512	174.00
1464	1	1	ANTIGUA GUATEMALA	TELERED	8900813	2048	650.00
1238	5	50001	RENAP GUASTATOYA	TELERED	8900697	512	174.00
138	5	5	GUASTATOYA	TELERED	8900279	512	174.00
1245	6	60001	RENAP ZACAPA	TELERED	8900704	512	174.00
562	9	9	PUERTO BARRIOS	TELERED	8900307	512	174.00
1657	10	100001	MINI MUNI SALAMA	TELERED	8901192	512	174.00
1063	11	11	PANZOS	TELERED	8900629	512	174.00
43	13	13	MONJA BLANCA	TELERED	8900237	512	174.00
237	14	14	TECPAN	TELERED	8900276	512	174.00
429	16	16	FRAY BARTOLOME DE LAS CASAS	TELERED	8900416	512	174.00
193	17	17	SANTA ELENA	TELERED	8900293	512	174.00
546	18	2018	ANEXO EL TEJAR	TELERED	8900378	512	174.00
1254	18	18	CHIMALTENANGO	TELERED	8900691	1024	370.00
1741	20	200001	MINI MUNI MELCHOR DE MENCOS	TELERED	8901331	512	174.00
1394	20	20	MELCHOR DE MENCOS	TELERED	8900777	512	174.00
91	21	21	TOTONICAPAN	TELERED	8900387	512	174.00
92	22	22	SOLOLA	TELERED	8900298	1024	370.00
280	24	24	EL TUMBADOR	TELERED	8900320	512	174.00
96	25	25	MALACATAN	TELERED	8900538	1024	370.00
448	29	29	PUEBLO NUEVO VIÑAS	TELERED	8900347	512	174.00
735	30	30	LA MAQUINA	TELERED	8900514	512	174.00
1761	31	310001	ANEXO AGE 31	TELERED	8901786	512	174.00
103	31	31	EL QUICHE	TELERED	8900287	512	174.00
863	32	32	HUEHUETENANGO	TELERED	8900565	1024	370.00
969	35	35	SANTIAGO ATITLAN	TELERED	8900601	512	174.00
1505	36	360001	WAY MORALES IZABAL	TELERED	8900882	512	174.00
1272	36	36	MORALES	TELERED	8900742	512	174.00
111	38	38	PATZUN	TELERED	8900398	512	174.00
287	39	39	POPTUN	TELERED	8900403	512	174.00
1205	40	40	PLAYA GRANDE	TELERED	8900678	512	174.00
342	41	41	LA DEMOCRACIA	TELERED	8900340	1024	370.00
1742	44	440001	MINI MUNI LA TINTA	TELERED	8901810	512	174.00
1207	44	44	LA TINTA	TELERED	8900680	512	174.00
693	45	2045	ANEXO ADUANA LA MESILLA	TELERED	8900478	512	174.00
539	45	45	LA MESILLA	TELERED	8900380	512	174.00
1587	46	46	SANTO TOMAS CHICHE	TELERED	8900910	512	174.00
933	47	47	ALOTENANGO	TELERED	8900591	512	174.00
123	49	49	CARCHA	TELERED	8900396	512	174.00
2000	49	490001	RENAP SAN PEDRO CARCHA	TELERED	8902017	512	174.00
1208	50	50	RAXRUJA	TELERED	8900681	512	174.00
440	52	52	NEBAJ	TELERED	8900503	256	174.00
129	53	53	JOYABAJ	TELERED	8900331	512	174.00
1348	54	54	USPANTAN	TELERED	8900763	512	174.00
492	55	55	SOLOMA	TELERED	8900411	512	174.00
1480	56	56	SAN ANTONIO HUISTA	TELERED	8900868	512	174.00
135	57	57	SANTA CRUZ BARILLAS	TELERED	8901772	256	174.00
1482	58	58	CUILCO	TELERED	8900841	512	174.00
500	59	59	SAN CRISTOBAL VERAPAZ	TELERED	8900395	512	174.00
1056	60	60	SACAPULAS	TELERED	8900630	512	174.00
1049	61	61	EL CHAL DOLORES	TELERED	8900608	512	174.00
1770	63	630001	MINI MUNI SAYAXCHE	TELERED	8901790	512	174.00
330	63	63	SAYAXCHE	TELERED	8900337	512	174.00
1210	64	64	LAS CRUCES	TELERED	8900683	512	174.00
493	65	65	RABINAL	TELERED	8900419	512	174.00
