Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1870	1	1	ANTIGUA GUATEMALA	INNOTECHSA	5001297	6144	1075.20
1871	2	2	BARBERENA	INNOTECHSA	5001287	6144	1075.20
1872	4	4	JUTIAPA	INNOTECHSA	5001305	6144	1075.20
1873	15	15	CHIQUIMULILLA	INNOTECHSA	5001304	6144	1075.20
1874	22	22	SOLOLA	INNOTECHSA	5001272	6144	1075.20
1875	32	32	HUEHUETENANGO	INNOTECHSA	5001281	6144	1075.20
2033	55	55	SOLOMA	INNOTECHSA	5001842	6144	1075.20
1876	62	62	SAN LUIS	INNOTECHSA	5001274	6144	1075.20
1986	101	101	ADUANA SAN CRISTOBAL	INNOTECHSA	5001756	1024	257.60
1877	124	124	COBAN IMPERIAL	INNOTECHSA	5001284	6144	1075.20
2034	132	132	AGENCIA ZONA 6 (MARTI)	INNOTECHSA	5001843	6144	1075.20
1879	152	152	AUTOBANCO PROGRESO JUTIAPA	INNOTECHSA	5001293	6144	1075.20
2052	155	155	AUTOBANCO LAS MINAS ESQUIPULAS	INNOTECHSA	5001844	6144	1075.20
1880	160	160	AUTOBANCO TEXACO CHIQUIMULA	INNOTECHSA	5001290	6144	1075.20
1881	162	162	CAMOJA	INNOTECHSA	5001285	6144	1075.20
1882	189	189	IGSS ZONA 6	INNOTECHSA	5001303	1024	257.60
2085	205	2050001	ANTECEDENTES POLICIACOS ZONA 9	INNOTECHSA	5002249	1024	257.60
2044	206	206	MEGA PRIMMA	INNOTECHSA	5001468	6144	1075.20
1985	225	2250001	ANEXO MERCADO EL GUARDA	INNOTECHSA	5001473	1024	257.60
1930	229	2290002	MINI MUNI SAN MIGUEL PETAPA	INNOTECHSA	5001521	1024	257.60
1919	236	2360001	COLEGIO DE PSICOLOGOS	INNOTECHSA	5001431	2048	492.80
1991	249	249	AUTOBANCO - QUETZALTENANGO	INNOTECHSA	5001755	4096	918.40
1884	275	275	MAZATENANGO PLAZA AMERICA	INNOTECHSA	5001278	6144	1075.20
1959	278	278	MERCADO LA REFORMITA	INNOTECHSA	5001489	1024	257.60
1885	283	283	AUTOBANCO ZACAPA TAMARINDAL	INNOTECHSA	5001289	6144	1075.20
1888	329	329	AUTOBANCO COATEPEQUE	INNOTECHSA	5001302	6144	1075.20
1918	334	3340001	COLEGIO DE CONTADORES PUBLICOS Y AUDITORES	INNOTECHSA	5001435	2048	492.80
1981	339	3390001	REGISTRO DE PERSONAS JURIDICAS	INNOTECHSA	5001649	1024	257.60
1990	340	3400001	MAYCOM 2A. CALLE ZONA 9	INNOTECHSA	5001698	2048	492.80
1889	340	340	2 CALLE ZONA 9	INNOTECHSA	5001298	6144	1075.20
1988	364	364	MIRAFLORES	INNOTECHSA	5001504	1024	257.60
1890	384	384	CENTRO COMERCIAL MONTUFAR	INNOTECHSA	5001300	6144	1075.20
1891	404	404	AVENIDA PETAPA	INNOTECHSA	5001288	6144	1075.20
1892	406	406	VILLA DE GUADALUPE	INNOTECHSA	5001269	6144	1075.20
1867	408	408	CALZADA AGUILAR BATRES	INNOTECHSA	5001178	6144	1075.20
1868	414	414	ROOSEVELT 2	INNOTECHSA	5001179	6144	1075.20
1896	428	428	SALAMA 5A AVENIDA	INNOTECHSA	5001299	6144	1075.20
1897	430	430	SANTA ELENA 4A CALLE	INNOTECHSA	5001273	6144	1075.20
1940	432	4320001	CENTRO COMERCIAL PASEO CARNAVAL	INNOTECHSA	5001566	1024	257.60
2002	453	453	C.C. PRADERA ZONA10	INNOTECHSA	5001890	1024	257.60
1942	458	4580001	MEGAPACA TECULUTAN	INNOTECHSA	5001575	1024	257.60
1898	477	477	AUTOBANCO LA RUIDOSA	INNOTECHSA	5001294	6144	1075.20
2040	481	481	TERMINAL DEL SUR ESCUINTLA	INNOTECHSA	5002070	0	0.00
2042	497	497	AUTOBANCO LAS CHAMPAS	INNOTECHSA	5001845	6144	1075.20
1966	506	506	HORCONES 	INNOTECHSA	5001667	1024	257.60
1967	528	528	GASOLINERA SCOTT EL JOCOTILLO	INNOTECHSA	5001668	1024	257.60
1899	530	530	AUTOBANCO CHIMALTENANGO	INNOTECHSA	5001295	6144	1075.20
2032	623	623	SANTA ANA PETEN	INNOTECHSA	5001846	6144	1075.20
2075	633	2633	MAXIDESPENSA PUERTO BARRIOS	INNOTECHSA	5002230	1024	257.60
1965	661	661	PLAZA CENTRA SUR	INNOTECHSA	5001636	1024	257.60
1900	669	669	PASEO DE LAS AMERICAS XELA	INNOTECHSA	5001276	6144	1075.20
1983	695	695	MINI MUNI CUBIL	INNOTECHSA	5001675	1024	257.60
1901	721	721	TERMINAL QUICHE	INNOTECHSA	5001271	6144	1075.20
1956	726	7260001	METROTECH AGUILAR BATRES	INNOTECHSA	5001574	1024	257.60
1989	733	733	CC PRADERA CONCEPCION	INNOTECHSA	5001699	1024	257.60
