Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
2087	11	11	PANZOS	CESA		128	199.00
2079	24	24	EL TUMBADOR	CESA		128	199.00
2008	89	89	JACALTENANGO	CESA		128	415.00
1143	130	130	GRANADOS	CESA	0	256	650.00
1571	450	450	SAN CARLOS ALZATATE	CESA		128	415.00
815	466	466	SALTAN	CESA	0	128	415.00
897	483	483	SAN JUAN IXCOY	CESA	0	128	415.00
1094	506	506	HORCONES 	CESA		256	650.00
1085	535	535	TIERRA BLANCA	CESA		256	650.00
1015	552	552	WAY EL NARANJO	CESA		128	415.00
2018	554	554	HUITAN QUETZALTENANGO	CESA		128	415.00
1077	575	575	COLOTENANGO	CESA		256	650.00
1098	594	594	CABALLO BLANCO	CESA		256	650.00
2009	605	605	EL PALMAR QUETZALTENANGO	CESA		128	415.00
1745	627	627	LA PARROQUIA ZONA REYNA	CESA		128	415.00
1193	632	632	ZAPOTITLAN	CESA		128	415.00
1392	635	635	SAN SEBASTIAN COATAN	CESA		128	415.00
1980	637	637	SAN JUAN ERMITA CHIQUIMULA	CESA		128	415.00
1341	680	680	TAJUMULCO	CESA		256	650.00
1485	763	763	GUATELINDA SAN DIEGO	CESA		128	415.00
1548	784	784	GODINEZ	CESA		256	650.00
1658	824	824	SANTA MARIA CHIQUIMULA	CESA		256	650.00
1740	840	840	TAJUMUCO	CESA		128	415.00
1737	847	847	CUNOROC	CESA		256	650.00
1996	863	863	PATZITE	CESA		128	415.00
1825	864	864	EL INJERTO LA LIBERTAD	CESA		128	415.00
2029	3582	5820002	FFACSA KONTIC	CESA		128	415.00
