Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
2093	0	1052	REGISTRO MERCANTIL	NAVEGA	59394	1024	0.00
367	2	2	BARBERENA	NAVEGA	1151	512	347.20
2081	2	20002	MERCADO BARBERENA	NAVEGA	63955	1024	347.20
1240	3	30001	RENAP JALAPA	NAVEGA	30018	512	347.20
361	3	3	JALAPA	NAVEGA	1152	512	347.20
368	4	4	JUTIAPA	NAVEGA	1150	512	347.20
363	6	6	ZACAPA	NAVEGA	1144	512	347.20
364	7	7	CHIQUIMULA	NAVEGA	1145	512	347.20
369	8	8	ESQUIPULAS	NAVEGA	1147	512	347.20
742	10	10	SALAMA	NAVEGA	13212	512	347.20
1908	12	12	COBAN	NAVEGA	1158	512	347.20
819	15	15	CHIQUIMULILLA	NAVEGA	17392	512	347.20
354	19	19	NUEVA CONCEPCION	NAVEGA	1156	512	347.20
370	23	23	SAN PEDRO SAN MARCOS	NAVEGA	1166	512	347.20
700	25	2025	SUPERMERCADO LA ESTRELLA	NAVEGA	12691	512	347.20
1938	25	250001	DIMACO MALACATAN	NAVEGA	58488	512	347.20
371	26	26	COATEPEQUE	NAVEGA	1164	512	347.20
1816	27	27	RETALHULEU	NAVEGA	1161	512	347.20
355	28	28	MAZATENANGO	NAVEGA	1159	512	347.20
1795	30	418	LA MAQUINA	NAVEGA	13146	512	347.20
350	34	34	QUETZALTENANGO	NAVEGA	1162	512	347.20
382	34	340001	2do. REGISTRO DE LA PROPIEDAD	NAVEGA	1163	512	347.20
1181	37	37	ASUNCION MITA	NAVEGA	1149	512	347.20
1659	39	39	POPTUN	NAVEGA	51000	512	347.20
424	43	43	EL ESTOR	NAVEGA	2109	512	347.20
494	48	48	MOYUTA	NAVEGA	4587	512	347.20
502	51	51	TEJUTLA	NAVEGA	4027	512	347.20
452	62	62	SAN LUIS	NAVEGA	2461	2048	560.00
414	67	67	MATAQUESCUINTLA	NAVEGA	2103	512	347.20
643	76	76	CIUDAD PEDRO DE ALVARADO	NAVEGA	5123	512	347.20
478	77	77	SAN JUAN LA LAGUNA	NAVEGA	3025	512	347.20
565	81	81	ATESCATEMPA	NAVEGA	9623	512	347.20
334	83	83	ESCUINTLA	NAVEGA	1154	512	347.20
459	84	84	COMALAPA	NAVEGA	2699	512	347.20
422	85	85	QUETZALTEPEQUE	NAVEGA	2104	512	347.20
570	86	86	SANTA CATARINA MITA	NAVEGA	7613	512	347.20
466	91	91	PALENCIA	NAVEGA	2819	512	347.20
1120	94	94	AUTOBANCO LOS AMATES	NAVEGA	26991	512	347.20
572	96	96	MIGRACION	NAVEGA	1434	512	196.00
351	97	97	HUEHUETENANGO AGENCIA TRIBUTARIA	NAVEGA	1167	512	347.20
404	99	99	OFICINA ZONA 1 (CENTRO)	NAVEGA	1668	5120	1120.00
339	102	102	ADUANA TECUN UMAN	NAVEGA	1165	512	347.20
346	104	1040001	ANEXO ADUANA PUERTO BARRIOS	NAVEGA	1140	512	347.20
1264	107	107	ADUANA ERMITA	NAVEGA	30036	128	302.40
2099	108	108	ADUANA EL FLORIDO	NAVEGA	41967	512	347.20
1541	109	1090003	CANAL 27	NAVEGA	26162	512	196.00
740	110	110	ADUANA PEDRO DE ALVARADO	NAVEGA	13541	512	347.20
943	143	143	NUEVO SAN CARLOS	NAVEGA	25698	512	347.20
467	144	144	SAN BENITO PETEN	NAVEGA	2810	512	347.20
57	152	152	AUTOBANCO PROGRESO JUTIAPA	NAVEGA	4708	512	347.20
460	161	161	SAN PEDRO CARCHA	NAVEGA	2525	512	347.20
1401	164	1640001	RENAP AMATITLAN	NAVEGA	29161	512	196.00
1993	167	167	TRANSITO GALERIAS DEL SUR	NAVEGA	764	512	196.00
685	171	171	CUBULCO	NAVEGA	12516	512	347.20
592	176	176	YUPILTEPEQUE	NAVEGA	24856	512	347.20
1001	179	179	PALIN	NAVEGA	2108	512	347.20
1142	184	1840001	RENAP JUTIAPA	NAVEGA	27448	128	302.40
1447	186	186	CENTENARIO MAZATENANGO	NAVEGA	39903	512	347.20
359	191	191	IGSS SANTA LUCIA COTZUMALGUAPA	NAVEGA	1155	512	347.20
1975	198	2198	OFIBODEGAS DEL NORTE	NAVEGA	61679	1024	347.20
1228	202	2020001	RENAP COATEPEQUE	NAVEGA	29171	512	347.20
313	205	205	IGSS ZONA 9	NAVEGA	756	512	196.00
431	208	208	ADUANA PUERTO FRONTERIZO - TECUN UMAN	NAVEGA	2106	128	302.40
396	212	212	MERCADO CENTRAL ZONA 1	NAVEGA	1533	512	196.00
1370	221	221	SANTA LUCIA COTZ	NAVEGA	31956	512	347.20
395	223	223	MERCADO EL GRANERO	NAVEGA	1532	512	196.00
303	224	224	MERCADO LA PALMITA	NAVEGA	733	512	196.00
292	225	225	MERCADO EL GUARDA	NAVEGA	722	512	196.00
420	226	226	OJ ZONA 9	NAVEGA	2145	512	196.00
871	227	2270001	ANEXO SANTO TOMAS DE CASTILLA	NAVEGA	17524	128	168.00
314	229	229	SAN MIGUEL PETAPA	NAVEGA	719	512	196.00
1754	230	230	BANRURAL FONAPAZ	NAVEGA	720	512	196.00
2053	232	232	SAN JUAN SACATEPEQUEZ	NAVEGA	62564	1024	347.20
1970	232	2320001	RENAP SAN JUAN SACATEPEQUEZ	NAVEGA	29174	512	347.20
298	234	234	VILLA HERMOSA	NAVEGA	721	512	196.00
390	236	236	REGISTRO MERCANTIL	NAVEGA	1460	512	196.00
389	245	245	MINISTERIO PUBLICO	NAVEGA	1459	512	196.00
419	246	246	LOS ENCUENTROS	NAVEGA	2107	512	347.20
323	247	247	ZONA FRANCA	NAVEGA	1198	512	196.00
505	248	2248	DISTRIBUIDORA EL QUICHE	NAVEGA	4751	512	347.20
423	248	248	AUTOBANCO - QUICHE	NAVEGA	2110	512	347.20
360	249	249	AUTOBANCO - QUETZALTENANGO	NAVEGA	1236	2048	571.20
320	250	250	AUTOBANCO - ROOSEVELT	NAVEGA	1134	512	196.00
568	252	252	CABRICAN	NAVEGA	9595	512	347.20
455	253	253	AUTOBANCO - COBAN	NAVEGA	2524	512	347.20
2082	254	254	SENAHU	NAVEGA		1024	310.00
453	258	258	LA LIBERTAD	NAVEGA	26620	512	347.20
638	259	259	SANTA CLARA LA LAGUNA	NAVEGA	7622	512	347.20
406	261	261	MERCADO SUR 2	NAVEGA	1797	512	196.00
417	262	262	MERCADO SAN MARTIN	NAVEGA	2724	512	196.00
418	264	264	AUTOBANCO - CIUDAD VIEJA	NAVEGA	2153	512	196.00
442	267	267	AUTOBANCO - VILLA CLARITA	NAVEGA	2320	512	196.00
434	268	268	SAN RAYMUNDO	NAVEGA	2321	512	347.20
435	269	269	SAN PEDRO PINULA	NAVEGA	28713	512	347.20
421	270	218	EL JOCOTILLO VILLA CANALES	NAVEGA	2299	512	196.00
497	270	270	EL JOCOTILLO VILLA CANALES	NAVEGA	4589	128	302.40
463	271	271	SANTIAGO SACATEPEQUEZ	NAVEGA	2318	512	347.20
2019	273	2730001	RENAP ESCUINTLA	NAVEGA	52225	512	347.20
462	274	274	SAN LUIS JILOTEPEQUE	NAVEGA	2732	512	347.20
474	277	277	MERCADO ROOSEVELT	NAVEGA	2723	512	196.00
591	281	281	SUMPANGO	NAVEGA	11713	512	347.20
461	282	282	PERIROOSEVELT	NAVEGA	2637	512	196.00
472	285	3285	ANEXO 2 CHIANTLA	NAVEGA	3023	512	347.20
476	287	287	VILLA CANALES	NAVEGA	3024	512	196.00
1380	289	289	SANTA CRUZ VERAPAZ	NAVEGA	9610	512	347.20
1400	290	290	SAN MIGUEL IXTAHUACAN	NAVEGA	30037	512	347.20
490	291	291	PAJAPITA	NAVEGA	3723	512	347.20
498	292	2920001	ANEXO NAHUALA	NAVEGA	4590	512	347.20
2058	307	307	SAN LUCAS TOLIMAN	NAVEGA		512	347.20
1046	312	312	ORGANISMO JUDICIAL HUEHUETENANGO	NAVEGA	4710	512	347.20
537	313	313	IGLESIA BETHANIA QUETZALTENANGO	NAVEGA	6051	512	347.20
520	320	320	AUTOBANCO TERMINAL SANTA ELENA	NAVEGA	5876	512	347.20
