Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1925	0	1999047	INTECAP OFICINAS CENTRALES	NAVEGA	67184	1024	0.00
2093	0	1999050	REGISTRO MERCANTIL	NAVEGA	59394	1024	0.00
921	0	1999026	ORIFLAME	NAVEGA		1024	0.00
2081	2	20002	MERCADO BARBERENA	NAVEGA	63955	1024	190.40
367	2	2	BARBERENA	NAVEGA	1151	1024	190.40
1240	3	30001	RENAP JALAPA	NAVEGA	30018	1024	190.40
361	3	3	JALAPA	NAVEGA	1152	1024	190.40
368	4	4	JUTIAPA	NAVEGA	1150	1024	190.40
363	6	6	ZACAPA	NAVEGA	1144	1024	190.40
364	7	7	CHIQUIMULA	NAVEGA	1145	1024	190.40
742	10	10	SALAMA	NAVEGA	13212	1024	190.40
1908	12	12	COBAN	NAVEGA	1158	1024	190.40
819	15	15	CHIQUIMULILLA	NAVEGA	17392	1024	190.40
354	19	19	NUEVA CONCEPCION	NAVEGA	1156	1024	190.40
370	23	23	SAN PEDRO SAN MARCOS	NAVEGA	1166	1024	190.40
1938	25	250001	DIMACO MALACATAN	NAVEGA	58488	1024	190.40
700	25	250002	SUPERMERCADO LA ESTRELLA	NAVEGA	12691	1024	190.40
371	26	26	COATEPEQUE	NAVEGA	1164	1024	190.40
1816	27	27	RETALHULEU	NAVEGA	1161	1024	190.40
355	28	28	MAZATENANGO	NAVEGA	1159	1024	190.40
382	34	340001	2do. REGISTRO DE LA PROPIEDAD	NAVEGA	1163	1024	190.40
350	34	34	QUETZALTENANGO	NAVEGA	1162	1024	190.40
1181	37	37	ASUNCION MITA	NAVEGA	1149	1024	190.40
1659	39	39	POPTUN	NAVEGA	51000	1024	190.40
424	43	43	EL ESTOR	NAVEGA	2109	1024	190.40
494	48	48	MOYUTA	NAVEGA	4587	1024	190.40
502	51	51	TEJUTLA	NAVEGA	4027	1024	190.40
452	62	62	SAN LUIS	NAVEGA	2461	2048	280.00
414	67	67	MATAQUESCUINTLA	NAVEGA	2103	1024	190.40
643	76	76	CIUDAD PEDRO DE ALVARADO	NAVEGA	5123	1024	190.40
478	77	77	SAN JUAN LA LAGUNA	NAVEGA	3025	1024	190.40
565	81	81	ATESCATEMPA	NAVEGA	9623	1024	190.40
334	83	83	ESCUINTLA	NAVEGA	1154	1024	190.40
459	84	84	COMALAPA	NAVEGA	2699	1024	190.40
422	85	85	QUETZALTEPEQUE	NAVEGA	2104	1024	190.40
570	86	86	SANTA CATARINA MITA	NAVEGA	7613	1024	190.40
466	91	91	PALENCIA	NAVEGA	2819	1024	190.40
1120	94	94	AUTOBANCO LOS AMATES	NAVEGA	26991	1024	190.40
572	96	96	MIGRACION	NAVEGA	1434	1024	190.40
351	97	97	HUEHUETENANGO AGENCIA TRIBUTARIA	NAVEGA	1167	1024	190.40
339	102	102	ADUANA TECUN UMAN	NAVEGA	1165	1024	190.40
346	104	1040001	ANEXO ADUANA PUERTO BARRIOS	NAVEGA	1140	1024	190.40
1264	107	107	ADUANA ERMITA	NAVEGA	30036	1024	190.40
2099	108	108	EL FLORIDO	NAVEGA	41967	1024	190.40
1541	109	1090003	CANAL 27	NAVEGA	26162	1024	190.40
740	110	110	ADUANA PEDRO DE ALVARADO	NAVEGA	13541	1024	190.40
2257	122	122	CAHABON	NAVEGA	71717	1024	190.40
2229	123	123	TUCURU	NAVEGA	71716	1024	190.40
943	143	143	NUEVO SAN CARLOS	NAVEGA	25698	1024	190.40
467	144	144	SAN BENITO PETEN	NAVEGA	2810	1024	190.40
57	152	152	AUTOBANCO PROGRESO JUTIAPA	NAVEGA	4708	1024	190.40
460	161	161	SAN PEDRO CARCHA	NAVEGA	2525	1024	190.40
1401	164	1640001	RENAP AMATITLAN	NAVEGA	29161	1024	190.40
1993	167	167	TRANSITO GALERIAS DEL SUR	NAVEGA	764	1024	190.40
685	171	171	CUBULCO	NAVEGA	12516	1024	190.40
592	176	176	YUPILTEPEQUE	NAVEGA	24856	1024	190.40
1001	179	179	PALIN	NAVEGA	2108	1024	190.40
2223	182	182	SAN MIGUEL ACATAN	NAVEGA	71712	1024	190.40
1447	186	186	CENTENARIO MAZATENANGO	NAVEGA	39903	1024	190.40
1975	198	1980002	OFIBODEGAS DEL NORTE	NAVEGA	61679	1024	190.40
1228	202	2020001	RENAP COATEPEQUE	NAVEGA	29171	1024	190.40
313	205	205	IGSS ZONA 9	NAVEGA	756	1024	190.40
431	208	208	ADUANA PUERTO FRONTERIZO - TECUN UMAN	NAVEGA	2106	1024	190.40
396	212	212	MERCADO CENTRAL ZONA 1	NAVEGA	1533	1024	190.40
421	218	218	PLAZA HELVETIA ROOSEVELT	NAVEGA	2299	1024	190.40
1370	221	221	SANTA LUCIA COTZ	NAVEGA	31956	1024	190.40
395	223	223	MERCADO EL GRANERO	NAVEGA	1532	1024	190.40
303	224	224	MERCADO LA PALMITA	NAVEGA	733	1024	190.40
292	225	225	MERCADO EL GUARDA	NAVEGA	722	1024	190.40
420	226	226	OJ ZONA 9	NAVEGA	2145	1024	190.40
871	227	2270001	ANEXO SANTO TOMAS DE CASTILLA	NAVEGA	17524	1024	190.40
314	229	229	SAN MIGUEL PETAPA	NAVEGA	719	1024	190.40
2053	232	232	SAN JUAN SACATEPEQUEZ	NAVEGA	62564	1024	190.40
1970	232	2320001	RENAP SAN JUAN SACATEPEQUEZ	NAVEGA	29174	1024	190.40
298	234	234	VILLA HERMOSA	NAVEGA	721	1024	190.40
390	236	236	REGISTRO MERCANTIL	NAVEGA	1460	1024	190.40
2215	243	243	LANQUIN	NAVEGA	71707	1024	190.40
389	245	245	MINISTERIO PUBLICO	NAVEGA	1459	1024	190.40
419	246	246	LOS ENCUENTROS	NAVEGA	2107	1024	190.40
323	247	247	ZONA FRANCA	NAVEGA	1198	1024	190.40
423	248	248	AUTOBANCO - QUICHE	NAVEGA	2110	1024	190.40
505	248	2480001	DISTRIBUIDORA EL QUICHE	NAVEGA	4751	1024	190.40
360	249	249	AUTOBANCO - QUETZALTENANGO	NAVEGA	1236	2048	280.00
320	250	250	AUTOBANCO - ROOSEVELT	NAVEGA	1134	1024	190.40
568	252	252	CABRICAN	NAVEGA	9595	1024	190.40
455	253	253	AUTOBANCO - COBAN	NAVEGA	2524	1024	190.40
2082	254	254	SENAHU	NAVEGA	63115	1024	190.40
