Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
2190	99	99	OFICINA ZONA 1 (CENTRO)	OPTEL		1048576	3584.00
2440	919	1999068	Torre Desarrollo 	OPTEL		1024000	1064.00
2012	919	1999066	DC Zona 9 - La Reforma 	OPTEL		10485760	1176.00
2439	919	1999068	Torre Desarrollo 	OPTEL		1024000	1064.00
2013	919	1999065	DC Zona 11 - Las charcas	OPTEL		10485760	1176.00
2014	920	1999009	TORRE BANRURAL	OPTEL		10485760	1176.00
2254	9138	1999057	Allied Global - BOT - Pacific Center	OPTEL		1000000	1232.00
2015	9138	1999041	GRUPO TRT (PTC)	OPTEL		1048576	1400.00
2438	9138	1999057	Allied Global - BOT - Pacific Center	OPTEL		1000000246	1232.00
2016	9138	1999041	GRUPO TRT (PTC)	OPTEL		1048576	1400.00
