Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1464	1	1	ANTIGUA GUATEMALA	CLARO	8900813	5196	360.00
1840	1	10001	RENAP ANTIGUA GUATEMALA	CLARO	8901934	2048	133.00
1238	5	50001	RENAP GUASTATOYA	CLARO	8900697	2048	133.00
138	5	5	GUASTATOYA	CLARO	8900279	2048	133.00
1245	6	60001	RENAP ZACAPA	CLARO	8900704	2048	133.00
562	9	9	PUERTO BARRIOS	CLARO	8900307	2048	133.00
1657	10	100001	MINI MUNI SALAMA	CLARO	8901192	2048	133.00
1063	11	11	PANZOS	CLARO	8900629	2048	133.00
43	13	13	MONJA BLANCA	CLARO	8900237	2048	133.00
237	14	14	TECPAN	CLARO	8900276	2048	133.00
429	16	16	FRAY BARTOLOME DE LAS CASAS	CLARO	8900416	2048	133.00
193	17	17	SANTA ELENA	CLARO	8900293	2048	133.00
546	18	180001	DISTRIBUIDORA EL TEJAR	CLARO	8900378	512	133.00
2157	18	18	CHIMALTENANGO	CLARO	8902107	2048	133.00
1741	20	200001	MINI MUNI MELCHOR DE MENCOS	CLARO	8901331	2048	133.00
1394	20	20	MELCHOR DE MENCOS	CLARO	8900777	2048	133.00
91	21	21	TOTONICAPAN	CLARO	8900387	2048	133.00
92	22	22	SOLOLA	CLARO	8900298	2048	133.00
280	24	24	EL TUMBADOR	CLARO	8900320	2048	133.00
96	25	25	MALACATAN	CLARO	8900538	2048	133.00
448	29	29	PUEBLO NUEVO VIÑAS	CLARO	8900347	2048	133.00
735	30	30	LA MAQUINA	CLARO	8900514	2048	133.00
2191	31	31	EL QUICHE	CLARO	8902204	2048	133.00
1761	31	310001	ANEXO AGE 31	CLARO	8901786	2048	133.00
863	32	32	HUEHUETENANGO	CLARO	8900565	2048	133.00
969	35	35	SANTIAGO ATITLAN	CLARO	8900601	2048	133.00
1272	36	36	MORALES	CLARO	8900742	2048	133.00
111	38	38	PATZUN	CLARO	8900398	2048	133.00
1205	40	40	PLAYA GRANDE	CLARO	8900678	2048	133.00
342	41	41	LA DEMOCRACIA	CLARO	8900340	2048	133.00
2158	42	42	IPALA	CLARO	8902106	2048	133.00
2251	43	43	EL ESTOR	CLARO	8902307	2048	133.00
1207	44	44	LA TINTA	CLARO	8900680	2048	133.00
539	45	45	LA MESILLA	CLARO	8900380	2048	133.00
693	45	2045	ANEXO ADUANA LA MESILLA	CLARO	8900478	2048	133.00
1587	46	46	SANTO TOMAS CHICHE	CLARO	8900910	2048	133.00
933	47	47	ALOTENANGO	CLARO	8900591	2048	133.00
123	49	49	CARCHA	CLARO	8900396	2048	133.00
2000	49	490001	RENAP SAN PEDRO CARCHA	CLARO	8902017	2048	133.00
1208	50	50	RAXRUJA	CLARO	8900681	2048	133.00
440	52	52	NEBAJ	CLARO	8900503	2048	133.00
129	53	53	JOYABAJ	CLARO	8900331	2048	133.00
1348	54	54	USPANTAN	CLARO	8900763	2048	133.00
492	55	55	SOLOMA	CLARO	8900411	2048	133.00
1480	56	56	SAN ANTONIO HUISTA	CLARO	8900868	2048	133.00
135	57	57	SANTA CRUZ BARILLAS	CLARO	8901772	2048	133.00
1482	58	58	CUILCO	CLARO	8900841	2048	133.00
2235	59	59	SAN CRISTOBAL VERAPAZ	CLARO	8902301	2048	133.00
2161	60	60	SACAPULAS	CLARO	8902095	2048	133.00
1049	61	61	EL CHAL DOLORES	CLARO	8900608	2048	133.00
1770	63	630001	MINI MUNI SAYAXCHE	CLARO	8901790	2048	133.00
330	63	63	SAYAXCHE	CLARO	8900337	2048	133.00
1210	64	64	LAS CRUCES	CLARO	8900683	2048	133.00
493	65	65	RABINAL	CLARO	8900419	2048	133.00
144	66	66	SAN MARTIN JILOTEPEQUE	CLARO	8900326	2048	133.00
906	68	68	JALPATAGUA	CLARO	8900584	2048	133.00
243	69	69	GUALAN	CLARO	8900404	2048	133.00
2073	70	70	SAN PEDRO NECTA	CLARO	8902105	2048	133.00
332	71	71	AGENCIA  18 CALLE ZONA 1	CLARO	8900314	2048	133.00
450	72	72	RIO DULCE	CLARO	8900487	512	133.00
548	73	73	AGUACATAN	CLARO	8900477	2048	133.00
152	74	74	MINISTERIO DE FINANZAS PUBLICAS 	CLARO	8900501	2048	133.00
289	75	75	SAN CARLOS SIJA	CLARO	8900912	2048	133.00
2315	76	76	CIUDAD PEDRO DE ALVARADO	CLARO	8902375	2048	133.00
337	78	78	CENTRAL DE MAYOREO (CENMA)	CLARO	8900360	2048	133.00
2195	79	790001	RENAP MOMOSTENANGO	CLARO	8902196	2048	133.00
701	79	79	MOMOSTENANGO	CLARO	8900505	2048	133.00
1273	80	80	ANEXO NUEVA SANTA ROSA 	CLARO	8900708	2048	133.00
1842	81	810001	MUNICIPALIDAD DE ATESCATEMPA	CLARO	8901906	2048	133.00
1064	82	82	CAMOTAN	CLARO	8900631	2048	133.00
1275	87	87	OLOPA	CLARO	8900710	2048	133.00
1129	88	88	LA UNION	CLARO	8900661	2048	133.00
335	89	89	JACALTENANGO	CLARO	8900356	2048	133.00
1058	90	90	PACHALUM	CLARO	8900609	2048	133.00
277	92	92	SAN MARCOS	CLARO	8900304	2048	133.00
2403	92	920001	RENAP SAN MARCOS 	CLARO	8902401	2048	133.00
1987	93	930001	ANEXO 93 LA LAGUNA	CLARO	8902001	2048	133.00
445	93	93	SAN PEDRO LA LAGUNA	CLARO	8900351	2048	133.00
1419	95	95	SAN FRANCISCO EL ALTO	CLARO	8900788	2048	133.00
1241	95	950001	RENAP SAN FRANCISCO EL ALTO	CLARO	8900700	2048	133.00
1704	98	98	CHACTE	CLARO	8901203	2048	133.00
1838	99	990001	ANEXO CONGRESO	CLARO	8901870	2048	133.00
343	100	100	ADUANA VALLE NUEVO	CLARO	8900341	2048	133.00
766	101	1010001	ADUANA SAN CRISTOBAL 2	CLARO	8900523	2048	133.00
765	103	103	ADUANA EL CARMEN	CLARO	8900524	2048	133.00
1725	104	104	ADUANA PUERTO BARRIOS	CLARO	8901878	2048	133.00
2069	105	105	SIJA QUETZALTENANGO	CLARO	8902043	2048	133.00
283	106	106	ADUANA AGUA CALIENTE	CLARO	8900319	2048	133.00
2265	108	108	EL FLORIDO	CLARO	8902326	2048	133.00
1488	109	1090002	J.I. COHEN	CLARO	8900834	2048	133.00
10	109	109	ROOSEVELTH	CLARO	8900259	2048	133.00
1810	109	1090001	MAYCOM C.C. ESKALA ROOSEVELT	CLARO	8901872	2048	133.00
1727	111	111	CUILAPA	CLARO	8901191	2048	133.00
764	113	113	ADUANA MELCHOR DE MENCOS	CLARO	8900525	2048	133.00
560	114	114	PUERTO QUETZAL	CLARO	8900391	2048	133.00
1211	116	116	TODOS SANTOS HUEHUETENANGO	CLARO	8900684	2048	133.00
1055	117	117	NENTON	CLARO	8900615	2048	133.00
21	118	118	BOULEVAR LIBERACION	CLARO	8900444	2048	133.00
1747	119	119	SANTA MARIA IXHUATAN	CLARO	8901327	2048	133.00
538	120	120	AUTOBANCO ASUNCION MITA	CLARO	8900449	2048	133.00
