rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	28.95
2	BARBERENA	14.48
4	JUTIAPA	14.48
5	GUASTATOYA	28.95
6	ZACAPA	14.48
8	ESQUIPULAS	14.48
9	PUERTO BARRIOS	14.48
10	SALAMA	14.48
11	PANZOS	14.48
13	MONJA BLANCA	14.48
14	TECPAN	14.48
15	CHIQUIMULILLA	14.48
16	FRAY BARTOLOME DE LAS CASAS	14.48
17	SANTA ELENA	14.48
18	CHIMALTENANGO	14.48
20	MELCHOR DE MENCOS	14.48
21	TOTONICAPAN	14.48
22	SOLOLA	14.48
24	EL TUMBADOR	14.48
25	MALACATAN	14.48
29	PUEBLO NUEVO VIÑAS	14.48
30	LA MAQUINA	14.48
31	EL QUICHE	28.95
32	HUEHUETENANGO	14.48
35	SANTIAGO ATITLAN	14.48
36	MORALES	14.48
38	PATZUN	14.48
40	PLAYA GRANDE	14.48
41	LA DEMOCRACIA	14.48
42	IPALA	14.48
43	EL ESTOR	14.48
44	LA TINTA	14.48
45	LA MESILLA	28.95
46	SANTO TOMAS CHICHE	14.48
47	ALOTENANGO	14.48
49	CARCHA	28.95
50	RAXRUJA	14.48
52	NEBAJ	14.48
53	JOYABAJ	14.48
54	USPANTAN	14.48
55	SOLOMA	14.48
56	SAN ANTONIO HUISTA	14.48
57	SANTA CRUZ BARILLAS	14.48
58	CUILCO	14.48
59	SAN CRISTOBAL VERAPAZ	14.48
60	SACAPULAS	14.48
61	EL CHAL DOLORES	14.48
62	SAN LUIS	14.48
64	LAS CRUCES	14.48
65	RABINAL	14.48
66	SAN MARTIN JILOTEPEQUE	14.48
68	JALPATAGUA	14.48
69	GUALAN	14.48
70	SAN PEDRO NECTA	14.48
71	AGENCIA  18 CALLE ZONA 1	14.48
72	RIO DULCE	14.48
73	AGUACATAN	14.48
74	MINISTERIO DE FINANZAS PUBLICAS 	14.48
75	SAN CARLOS SIJA	14.48
76	CIUDAD PEDRO DE ALVARADO	14.48
78	CENTRAL DE MAYOREO (CENMA)	14.48
79	MOMOSTENANGO	28.95
80	ANEXO NUEVA SANTA ROSA 	14.48
82	CAMOTAN	14.48
87	OLOPA	14.48
88	LA UNION	14.48
89	JACALTENANGO	14.48
90	PACHALUM	14.48
92	SAN MARCOS	28.95
93	SAN PEDRO LA LAGUNA	28.95
95	SAN FRANCISCO EL ALTO	28.95
98	CHACTE	14.48
99	OFICINA ZONA 1 (CENTRO)	14.48
100	ADUANA VALLE NUEVO	14.48
101	SAN CRISTOBAL FRONTERA	28.95
103	ADUANA EL CARMEN	14.48
104	ADUANA PUERTO BARRIOS	14.48
105	SIJA QUETZALTENANGO	14.48
106	ADUANA AGUA CALIENTE	14.48
108	EL FLORIDO	14.48
109	ROOSEVELTH	43.43
110	ADUANA PEDRO DE ALVARADO	14.48
111	CUILAPA	14.48
113	ADUANA MELCHOR DE MENCOS	14.48
114	PUERTO QUETZAL	14.48
116	TODOS SANTOS HUEHUETENANGO	14.48
117	NENTON	14.48
118	BOULEVAR LIBERACION	14.48
119	SANTA MARIA IXHUATAN	14.48
120	AUTOBANCO ASUNCION MITA	14.48
121	CHICHICASTENANGO	14.48
124	COBAN IMPERIAL	28.95
125	CHISEC	14.48
126	SAN MANUEL CHAPARRON	14.48
127	AUTOBANCO TELEMAN	14.48
128	CONCEPCION HUISTA	14.48
129	EL CHOL	14.48
130	GRANADOS	14.48
131	REFORMA SAN MARCOS	14.48
132	AGENCIA ZONA 6 (MARTI)	14.48
133	C.C. PLAZA MAGDALENA	14.48
134	AGENCIA ZONA 7	14.48
135	AGENCIA ZONA 5	14.48
136	METRONORTE	28.95
137	VILLA NUEVA	14.48
138	AGENCIA MIXCO	14.48
139	AGENCIA ZONA 19	28.95
140	SAT FLORES	14.48
141	TERMINAL HUEHUETENANGO	14.48
142	PLAZA PALMERAS	14.48
144	SAN BENITO PETEN	14.48
146	INGUAT	14.48
147	AGENCIA SAT ZACAPA	28.95
148	COLONIAL ANTIGUA	14.48
149	SANTA EULALIA	14.48
151	SALAMA CENTRO	14.48
152	AUTOBANCO PROGRESO JUTIAPA	14.48
153	AUTOBANCO CIUDAD SAN CRISTOBAL	14.48
154	AGUA BLANCA	14.48
155	AUTOBANCO LAS MINAS ESQUIPULAS	14.48
156	PANAJACHEL	14.48
157	SAT - JALAPA	14.48
158	SAMAYAC	14.48
159	SAN ANDRES SEMETABAJ	14.48
160	AUTOBANCO TEXACO CHIQUIMULA	14.48
162	CAMOJA	14.48
163	CUNEN	14.48
164	AMATITLAN	28.95
