Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1870	1	1	ANTIGUA GUATEMALA	COLUMBUS	5001297	4096	526.40
1871	2	2	BARBERENA	COLUMBUS	5001287	4096	526.40
1872	4	4	JUTIAPA	COLUMBUS	5001305	4096	526.40
2275	8	8	ESQUIPULAS	COLUMBUS	5020239	2048	252.00
1873	15	15	CHIQUIMULILLA	COLUMBUS	5001304	4096	526.40
1874	22	22	SOLOLA	COLUMBUS	5001272	4096	526.40
1875	32	32	HUEHUETENANGO	COLUMBUS	5001281	4096	526.40
2033	55	55	SOLOMA	COLUMBUS	5001842	4096	526.40
1876	62	62	SAN LUIS	COLUMBUS	5001274	4096	526.40
2330	75	75	SAN CARLOS SIJA	COLUMBUS	5021627	2048	252.00
2327	79	79	MOMOSTENANGO	COLUMBUS	5021626	2048	252.00
1986	101	101	SAN CRISTOBAL FRONTERA	COLUMBUS	5001756	2048	252.00
2316	110	110	ADUANA PEDRO DE ALVARADO	COLUMBUS	5021651	2048	252.00
1877	124	124	COBAN IMPERIAL	COLUMBUS	5001284	4096	526.40
2034	132	132	AGENCIA ZONA 6 (MARTI)	COLUMBUS	5001843	4096	308.00
2084	139	1390001	ANEXO SUPER DEL BARRIO BELEN	COLUMBUS	5002251	2048	201.60
1878	148	148	COLONIAL ANTIGUA	COLUMBUS	5001283	4096	526.40
1879	152	152	AUTOBANCO PROGRESO JUTIAPA	COLUMBUS	5001293	4096	526.40
2052	155	155	AUTOBANCO LAS MINAS ESQUIPULAS	COLUMBUS	5001844	4096	526.40
1880	160	160	AUTOBANCO TEXACO CHIQUIMULA	COLUMBUS	5001290	4096	526.40
1881	162	162	CAMOJA	COLUMBUS	5001285	4096	526.40
1882	189	189	19 AVENIDA ZONA 6	COLUMBUS	5001303	2048	201.60
2085	205	2050001	ANTECEDENTES POLICIACOS ZONA 9	COLUMBUS	5002249	2048	201.60
2044	206	206	MEGA PRIMMA	COLUMBUS	5001468	4096	308.00
1944	206	2206	SAT MEGAPRIMMA	COLUMBUS	5001522	2048	201.60
1985	225	2250001	ANEXO MERCADO EL GUARDA	COLUMBUS	5001473	2048	201.60
2277	247	247	ZONA FRANCA	COLUMBUS	5020525	2048	201.60
1991	249	249	AUTOBANCO - QUETZALTENANGO	COLUMBUS	5001755	4096	526.40
1884	275	275	MAZATENANGO PLAZA AMERICA	COLUMBUS	5001278	4096	526.40
1959	278	278	MERCADO LA REFORMITA	COLUMBUS	5001489	2048	201.60
1885	283	283	AUTOBANCO ZACAPA TAMARINDAL	COLUMBUS	5001289	4096	526.40
1886	309	309	IPM	COLUMBUS	5001280	2048	201.60
1888	329	329	AUTOBANCO COATEPEQUE	COLUMBUS	5001302	4096	526.40
1981	339	3390001	REGISTRO DE PERSONAS JURIDICAS	COLUMBUS	5001649	2048	252.00
1990	340	3400001	MAYCOM 2A. CALLE ZONA 9	COLUMBUS	5001698	2048	201.60
1889	340	340	2 CALLE ZONA 9	COLUMBUS	5001298	4096	308.00
1988	364	364	MIRAFLORES	COLUMBUS	5001504	2048	201.60
2337	369	369	CATARINA	COLUMBUS	5021680	2048	252.00
2318	370	370	GUAZACAPAN	COLUMBUS	5021649	2048	252.00
1890	384	384	CENTRO COMERCIAL MONTUFAR	COLUMBUS	5001300	4096	308.00
2086	403	4030001	ANEXO PASEO DE LOS CAMPEONES	COLUMBUS	5002250	2048	201.60
1891	404	404	AVENIDA PETAPA	COLUMBUS	5001288	4096	308.00
1892	406	406	VILLA DE GUADALUPE	COLUMBUS	5001269	4096	308.00
1867	408	408	CALZADA AGUILAR BATRES	COLUMBUS	5001178	4096	308.00
1868	414	414	ROOSEVELT 2	COLUMBUS	5001179	4096	308.00
1895	424	424	VILLA NUEVA 2	COLUMBUS	5001268	2048	201.60
1896	428	428	SALAMA 5A AVENIDA	COLUMBUS	5001299	4096	526.40
1897	430	430	SANTA ELENA 4A CALLE	COLUMBUS	5001273	4096	526.40
1940	432	4320001	CENTRO COMERCIAL PASEO CARNAVAL	COLUMBUS	5001566	2048	252.00
2399	435	435	IPALA 3A CALLE	COLUMBUS	5022073	2048	252.00
2274	437	437	CHIQUIMULA 8A. AVENIDA	COLUMBUS	5020236	2048	252.00
2106	440	440	ESCUINTLA 3A CALLE	COLUMBUS	5002269	4096	308.00
2002	453	453	C.C. PRADERA ZONA10	COLUMBUS	5001890	2048	201.60
1942	458	4580001	MEGAPACA TECULUTAN	COLUMBUS	5001575	2048	252.00
2319	460	460	MONTERRICO	COLUMBUS	5021656	2048	252.00
2320	461	461	TAXISCO	COLUMBUS	5021647	2048	252.00
1898	477	477	AUTOBANCO LA RUIDOSA	COLUMBUS	5001294	4096	526.40
2306	481	481	CENTRO COMERCIAL MINUTO	COLUMBUS	5002070	2048	201.60
2104	493	493	MERCADO VILLA NUEVA	COLUMBUS	5002268	4096	526.40
2042	497	497	AUTOBANCO LAS CHAMPAS	COLUMBUS	5001845	4096	526.40
1966	506	506	HORCONES 	COLUMBUS	5001667	2048	252.00
1955	514	514	SUPERMERCADO LA CASITA	COLUMBUS	5001650	2048	201.60
1967	528	528	LA CONCHA	COLUMBUS	5001668	2048	201.60
1899	530	530	AUTOBANCO CHIMALTENANGO	COLUMBUS	5001295	4096	526.40
2097	562	562002	ANEXO AUTOBANCO ESCUINTLA	COLUMBUS	5002415	2048	201.60
2032	623	623	SANTA ANA PETEN	COLUMBUS	5001846	4096	526.40
2358	633	633	PRADERA PUERTO BARRIOS	COLUMBUS	5022075	2048	252.00
1900	669	669	PASEO DE LAS AMERICAS XELA	COLUMBUS	5001276	4096	526.40
2322	684	684	AUTOBANCO CHIQUIMULILLA	COLUMBUS	5021645	2048	252.00
1983	695	695	MINI MUNI CUBIL	COLUMBUS	5001675	2048	252.00
2088	705	7050002	MINI MUNI SANCRIS MALL	COLUMBUS	5002259	2048	201.60
2376	710	710	CENTRO COMERCIAL LAS PUERTAS	COLUMBUS	5022069	2048	252.00
1901	721	721	TERMINAL QUICHE	COLUMBUS	5001271	4096	526.40
1989	733	733	CC PRADERA CONCEPCION	COLUMBUS	5001699	2048	252.00
1903	777	777	AUTOBANCO SAN MARCOS	COLUMBUS	5001292	4096	526.40
