Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
2301	16	16	FRAY BARTOLOME DE LAS CASAS	TELNOR		256	155.00
891	17	17	SANTA ELENA	TELNOR	22017	256	250.00
2452	20	20	MELCHOR DE MENCOS	TELNOR		256	155.00
1349	44	44	LA TINTA	TELNOR	22185	256	250.00
577	45	45	LA MESILLA	TELNOR	22045	256	250.00
1322	50	50	RAXRUJA	TELNOR	22050	256	250.00
1791	53	53	JOYABAJ	TELNOR	22259	256	250.00
1498	56	56	SAN ANTONIO HUISTA	TELNOR		256	250.00
2167	57	57	SANTA CRUZ BARILLAS	TELNOR	22343	256	250.00
1453	64	64	LAS CRUCES	TELNOR	22064	256	250.00
907	68	68	JALPATAGUA	TELNOR	22134	256	250.00
2292	75	75	SAN CARLOS SIJA	TELNOR	22741	256	155.00
1472	98	98	CHACTE	TELNOR	22098	256	250.00
791	101	1010001	ADUANA SAN CRISTOBAL 2	TELNOR	22101	256	250.00
1497	116	116	TODOS SANTOS HUEHUETENANGO	TELNOR		256	250.00
1933	121	121	CHICHICASTENANGO	TELNOR		256	250.00
2290	122	122	CAHABON	TELNOR	22189	256	250.00
263	123	123	TUCURU	TELNOR	22184	256	250.00
1664	128	128	CONCEPCION HUISTA	TELNOR	22162	256	250.00
2202	129	129	EL CHOL	TELNOR	22197	256	250.00
2308	131	131	REFORMA SAN MARCOS	TELNOR	22131	256	250.00
579	200	200	CHAJUL	TELNOR	22205	256	250.00
268	209	209	EL NARANJO	TELNOR	22209	256	250.00
1466	222	222	SAN ANDRES SAJCABAJA	TELNOR	22201	256	250.00
1594	231	231	SAN PABLO SAN MARCOS	TELNOR		256	250.00
805	238	238	ZACUALPA	TELNOR	22199	256	250.00
329	240	240	SANTA ANA HUISTA	TELNOR	22161	256	250.00
730	243	243	LANQUIN	TELNOR	22219	256	250.00
1787	254	254	SENAHU	TELNOR	22188	256	250.00
1538	258	258	LA LIBERTAD	TELNOR		256	250.00
2062	292	292	NAHUALA	TELNOR	22688	256	250.00
2281	307	307	SAN LUCAS TOLIMAN	TELNOR	22732	512	155.00
1545	316	316	SAN JOSE POAQUIL	TELNOR	22207	256	250.00
1978	328	328	LA LIBERTAD HUEHUETENANGO	TELNOR	22159	256	250.00
1494	338	338	SAN ANTONIO ILOTENANGO	TELNOR		256	250.00
744	354	354	CHAHAL	TELNOR	22193	256	250.00
877	383	383	LAS ESCOBAS	TELNOR	22196	256	250.00
2006	444	444	JACALTENANGO 2	TELNOR	22679	256	250.00
2259	463	463	AUTOBANCO GUALAN	TELNOR	22713	256	250.00
2264	466	466	SALTAN	TELNOR	22714	512	375.00
1613	471	471	POLOGUA	TELNOR	22130	256	250.00
1372	485	485	SAN JORGE ZACAPA	TELNOR	22170	256	250.00
1350	487	487	CONCEPCION CHIQUIRICHAPA	TELNOR	22216	256	250.00
889	503	503	EL AMATILLO	TELNOR	22503	256	250.00
974	510	510	SAN JOSE LA ARADA	TELNOR	22261	256	250.00
2278	512	512	UNION CANTINIL	TELNOR	22731	256	155.00
2273	521	521	SANTIAGO CHIMALTENANGO	TELNOR	22730	256	250.00
1309	529	529	TAMAHU	TELNOR	22285	256	250.00
932	533	533	AUTOBANCO PLAYA GRANDE	TELNOR	22533	256	250.00
1457	560	560	SANTA APOLONIA	TELNOR		256	250.00
1814	581	581	EL ADELANTO	TELNOR	22634	256	250.00
2310	608	608	COMITANCILLO	TELNOR	22656	256	250.00
2289	609	609	EL ASINTAL	TELNOR		256	250.00
1021	614	614	SANTA ELENA BARILLAS	TELNOR	33150	256	250.00
1130	617	617	SANTA LUCIA LA REFORMA	TELNOR		256	250.00
2266	627	627	LA PARROQUIA ZONA REYNA	TELNOR	22715	256	250.00
2198	679	679	SAN PEDRO SACATEPEQUEZ CENTRO	TELNOR	22696	256	250.00
2245	685	685	ADUANA EL CEIBO	TELNOR		256	250.00
2255	697	697	SANYUYO	TELNOR	22164	256	250.00
1411	725	725	SAN VICENTE BUENABAJ	TELNOR		256	250.00
1523	779	779	KILOMETRO 11 SAN JUAN DOLORES	TELNOR	22262	256	250.00
2269	824	824	SANTA MARIA CHIQUIMULA	TELNOR	22729	256	250.00
2293	834	834	SAN SEBASTIAN HUEHUETENANGO	TELNOR	22742	256	155.00
2268	840	840	TAJUMUCO	TELNOR	22716	512	375.00
2102	855	855	LA REYNITA SAYAXCHE	TELNOR	22690	256	250.00
2267	864	864	EL INJERTO LA LIBERTAD	TELNOR	22717	512	375.00
2214	872	872	BUENOS AIRES	TELNOR	22704	256	250.00
2282	920	1999005	TELNOR / NOC	TELNOR		2048	375.00
989	920	1999024	MOVIL AUTODIRECCIONABLE	TELNOR	22752	512	450.00
2206	1012	1012	PITZAL	TELNOR	22701	256	250.00
2304	1014	1014	AUTOBANCO FALLABON	TELNOR		256	155.00
