rm_oficinacontable	descripcion	monto_USD$
1	ANTIGUA GUATEMALA	29.08
2	BARBERENA	14.54
4	JUTIAPA	14.54
5	GUASTATOYA	29.08
6	ZACAPA	14.54
8	ESQUIPULAS	14.54
9	PUERTO BARRIOS	14.54
10	SALAMA	14.54
11	PANZOS	14.54
13	MONJA BLANCA	14.54
14	TECPAN	14.54
15	CHIQUIMULILLA	14.54
16	FRAY BARTOLOME DE LAS CASAS	14.54
17	SANTA ELENA	14.54
18	CHIMALTENANGO	14.54
20	MELCHOR DE MENCOS	14.54
21	TOTONICAPAN	14.54
22	SOLOLA	14.54
24	EL TUMBADOR	14.54
25	MALACATAN	14.54
29	PUEBLO NUEVO VIÑAS	14.54
30	LA MAQUINA	14.54
31	EL QUICHE	29.08
32	HUEHUETENANGO	14.54
35	SANTIAGO ATITLAN	14.54
36	MORALES	14.54
38	PATZUN	14.54
40	PLAYA GRANDE	14.54
41	LA DEMOCRACIA	14.54
42	IPALA	14.54
43	EL ESTOR	14.54
44	LA TINTA	14.54
45	LA MESILLA	29.08
46	SANTO TOMAS CHICHE	14.54
47	ALOTENANGO	14.54
49	CARCHA	29.08
50	RAXRUJA	14.54
52	NEBAJ	14.54
53	JOYABAJ	14.54
54	USPANTAN	14.54
55	SOLOMA	14.54
56	SAN ANTONIO HUISTA	14.54
57	SANTA CRUZ BARILLAS	14.54
58	CUILCO	14.54
59	SAN CRISTOBAL VERAPAZ	14.54
60	SACAPULAS	14.54
61	EL CHAL DOLORES	14.54
62	SAN LUIS	14.54
64	LAS CRUCES	14.54
65	RABINAL	14.54
66	SAN MARTIN JILOTEPEQUE	14.54
68	JALPATAGUA	14.54
69	GUALAN	14.54
70	SAN PEDRO NECTA	14.54
71	AGENCIA  18 CALLE ZONA 1	14.54
72	RIO DULCE	14.54
73	AGUACATAN	14.54
74	MINISTERIO DE FINANZAS PUBLICAS 	14.54
75	SAN CARLOS SIJA	14.54
76	CIUDAD PEDRO DE ALVARADO	14.54
78	CENTRAL DE MAYOREO (CENMA)	14.54
79	MOMOSTENANGO	29.08
80	ANEXO NUEVA SANTA ROSA 	14.54
82	CAMOTAN	14.54
87	OLOPA	14.54
88	LA UNION	14.54
89	JACALTENANGO	14.54
90	PACHALUM	14.54
92	SAN MARCOS	29.08
93	SAN PEDRO LA LAGUNA	29.08
95	SAN FRANCISCO EL ALTO	29.08
98	CHACTE	14.54
99	OFICINA ZONA 1 (CENTRO)	14.54
100	ADUANA VALLE NUEVO	14.54
101	SAN CRISTOBAL FRONTERA	29.08
103	ADUANA EL CARMEN	14.54
104	ADUANA PUERTO BARRIOS	14.54
105	SIJA QUETZALTENANGO	14.54
106	ADUANA AGUA CALIENTE	14.54
108	EL FLORIDO	14.54
109	ROOSEVELTH	43.62
110	ADUANA PEDRO DE ALVARADO	14.54
111	CUILAPA	14.54
113	ADUANA MELCHOR DE MENCOS	14.54
114	PUERTO QUETZAL	14.54
116	TODOS SANTOS HUEHUETENANGO	14.54
117	NENTON	14.54
118	BOULEVAR LIBERACION	14.54
119	SANTA MARIA IXHUATAN	14.54
120	AUTOBANCO ASUNCION MITA	14.54
121	CHICHICASTENANGO	14.54
124	COBAN IMPERIAL	29.08
125	CHISEC	14.54
126	SAN MANUEL CHAPARRON	14.54
127	AUTOBANCO TELEMAN	14.54
128	CONCEPCION HUISTA	14.54
129	EL CHOL	14.54
130	GRANADOS	14.54
131	REFORMA SAN MARCOS	14.54
132	AGENCIA ZONA 6 (MARTI)	14.54
133	C.C. PLAZA MAGDALENA	14.54
134	AGENCIA ZONA 7	14.54
135	AGENCIA ZONA 5	14.54
136	METRONORTE	29.08
137	VILLA NUEVA	14.54
138	AGENCIA MIXCO	14.54
139	AGENCIA ZONA 19	29.08
141	TERMINAL HUEHUETENANGO	14.54
142	PLAZA PALMERAS	14.54
144	SAN BENITO PETEN	14.54
146	INGUAT	14.54
147	AGENCIA SAT ZACAPA	29.08
148	COLONIAL ANTIGUA	14.54
149	SANTA EULALIA	14.54
151	SALAMA CENTRO	14.54
152	AUTOBANCO PROGRESO JUTIAPA	14.54
153	AUTOBANCO CIUDAD SAN CRISTOBAL	14.54
154	AGUA BLANCA	14.54
155	AUTOBANCO LAS MINAS ESQUIPULAS	14.54
156	PANAJACHEL	14.54
157	SAT - JALAPA	14.54
158	SAMAYAC	14.54
159	SAN ANDRES SEMETABAJ	14.54
160	AUTOBANCO TEXACO CHIQUIMULA	14.54
162	CAMOJA	14.54
163	CUNEN	14.54
164	AMATITLAN	29.08
165	XELAJU	29.08
166	TECULUTAN	14.54
168	LA TORRE	14.54
169	EL PROGRESO	14.54
170	C.D.R.O	14.54
173	19 CALLE	14.54
174	PURULHA	14.54
175	ORGANISMO JUDICIAL	14.54
177	LA DEMOCRACIA ESCUINTLA	14.54
178	AEROPUERTO	43.62
179	PALIN	14.54
180	SANARATE	14.54
181	CHICAMAN	14.54
183	PRISA	14.54
184	TERMINAL JUTIAPA	29.08
185	IGSS CENTRAL	14.54
187	SAN ANTONIO SUCHITEPEQUEZ	14.54
188	IGSS ZONA 5	14.54
189	19 AVENIDA ZONA 6	14.54
190	IGSS ZONA 11	14.54
192	IGSS MONTE REAL	14.54
193	IGSS RETALHULEU	14.54
194	IGSS PAMPLONA	14.54
195	TIQUISATE	14.54
196	SAN MIGUEL POCHUTA	14.54
197	TACTIC	14.54
198	SIMON BOLIVAR MORALES	14.54
199	MERCADO QUETZALTENANGO	14.54
200	CHAJUL	14.54
201	SALCAJA	29.08
202	MERCADO SANTO TOMAS DE CASTILLA	14.54
203	PATULUL	14.54
204	CHICACAO	14.54
205	IGSS ZONA 9	14.54
206	MEGA PRIMMA	29.08
207	CHIQUIMULA CENTRO	14.54
209	EL NARANJO	29.08
210	MERCADO TERMINAL ZONA 4	14.54
211	MERCADO LA FLORIDA	14.54
213	MERCADO LA PARROQUIA	14.54
216	MUNICIPALIDAD DE VILLA NUEVA	14.54
219	LOS OLIVOS	14.54
220	MONJAS	14.54
221	SANTA LUCIA COTZ	14.54
222	SAN ANDRES SAJCABAJA	14.54
225	MERCADO EL GUARDA	14.54
227	SANTO TOMAS DE CASTILLA	14.54
228	SAT ZONA 9	29.08
231	SAN PABLO SAN MARCOS	14.54
232	SAN JUAN SACATEPEQUEZ	14.54
233	ALMOLONGA	14.54
235	CENTRO COMERCIAL MONSERRAT	14.54
237	BOCA DEL MONTE	14.54
238	ZACUALPA	14.54
240	SANTA ANA HUISTA	14.54
241	RIO HONDO	14.54
242	SAT MAZATENANGO	14.54
244	HOSPITAL ROOSEVELT	14.54
249	AUTOBANCO - QUETZALTENANGO	14.54
251	LIVINGSTON	14.54
256	USAC	14.54
257	AUTOBANCO - PETAPA	14.54
260	MERCADO SAN JOSE MERCANTIL	14.54
263	MERCADO LA PRESIDENTA	14.54
265	SAN FELIPE RETALHULEU	14.54
266	CONCEPCION LAS MINAS	14.54
272	SANSARE	14.54
273	ESCUINTLA CENTRO	14.54
275	MAZATENANGO PLAZA AMERICA	14.54
276	MERCADO COLON	14.54
278	MERCADO LA REFORMITA	14.54
279	MERCADO BETHANIA	14.54
280	SAN ANDRES ITZAPA	14.54
283	AUTOBANCO ZACAPA TAMARINDAL	14.54
284	ESTANZUELA	14.54
285	CHIANTLA	14.54
286	SAN IDELFONSO IXTAHUACAN	14.54
288	ORATORIO	14.54
292	NAHUALA	14.54
293	SANTA LUCIA UTATLAN	14.54
294	MORAZAN	14.54
295	TACANA	14.54
296	SAN JUAN OSTUNCALCO	14.54
297	PARRAMOS	14.54
298	EL FRUTAL	14.54
300	INFOM	14.54
301	ORGANISMO JUDICIAL QUETZALTENANGO	29.08
302	QUEZADA	14.54
303	SIBILIA	14.54
304	CANILLA	14.54
306	LA GOMERA	14.54
308	DOLORES	14.54
309	IPM	14.54
312	ORGANISMO JUDICIAL HUEHUETENANGO	14.54
313	IGLESIA BETHANIA QUETZALTENANGO	14.54
314	PRADERA XELA	14.54
315	DECAM	14.54
316	SAN JOSE POAQUIL	14.54
319	PLAZA JADE	14.54
321	CIUDAD VIEJA	14.54
324	JOCOTAN	14.54
325	SAN JOSE	14.54
326	AUTOBANCO TERMINAL RETALHULEU	29.08
329	AUTOBANCO COATEPEQUE	29.08
330	CASILLAS	14.54
332	AYARZA	14.54
333	SEGUROS UNIVERSALES	14.54
334	CENTRO COMERCIAL ZONA 4	14.54
335	USUMATLAN	14.54
336	CABANAS	14.54
337	SAN DIEGO	14.54
338	SAN ANTONIO ILOTENANGO	14.54
339	CONTRALORIA GENERAL DE CUENTAS	29.08
340	2 CALLE ZONA 9	29.08
341	MERCADO CANDELARIA	14.54
342	MERCADO JUSTO RUFINO BARRIOS	14.54
343	SAN MATEO IXTATAN	14.54
344	SAN CRISTOBAL ACASAGUASTLAN	14.54
345	MINISTERIO PUBLICO FISCALIAS	14.54
348	MERCADO BARILLAS	14.54
349	SAN MARCOS HUISTA	14.54
352	MINISTERIO DE RELACIONES EXTERIORES	14.54
353	MUNICIPALIDAD SANTA LUCIA COTZUMALGUAPA	14.54
354	CHAHAL	14.54
356	SAN AGUSTIN ACASAGUASTLAN	29.08
357	DESPENSA LOMAS DEL NORTE	14.54
358	MERCADO QUICHE ZONA 5	14.54
361	CUBULCO CENTRO	14.54
362	AVENIDA BOLIVAR	14.54
363	SAN JUAN COTZAL	14.54
364	MIRAFLORES	14.54
365	INTECAP	14.54
366	MEGA TERMINAL ZONA 4	14.54
367	AUTOBANCO JOYABAJ	14.54
369	CATARINA	14.54
370	GUAZACAPAN	14.54
376	CENTRO COMERCIAL PACIFIC CENTER	14.54
378	AUTOBANCO JALAPA	14.54
379	SANTA MARIA VISITACION	14.54
381	AUTOBANCO PUERTO BARRIOS	14.54
382	SAYAXCHE PARQUE CENTRAL	14.54
383	LAS ESCOBAS	14.54
384	CENTRO COMERCIAL MONTUFAR	14.54
386	AUTOBANCO SAN LUCAS SACATEPEQUEZ	14.54
