Enlace	Oficina_Contable	Remoto	Descripcion	Proveedor	ID	AnchoBanda	Costo_Dolares
1925	0	1999047	INTECAP OFICINAS CENTRALES	TIGO	67184	1024	0.00
2093	0	1999050	REGISTRO MERCANTIL	TIGO	59394	1024	0.00
921	0	1999026	ORIFLAME	TIGO		1024	0.00
2081	2	20002	MERCADO BARBERENA	TIGO	63955	1024	190.40
367	2	2	BARBERENA	TIGO	1151	1024	190.40
1240	3	30001	RENAP JALAPA	TIGO	30018	1024	190.40
361	3	3	JALAPA	TIGO	1152	1024	190.40
368	4	4	JUTIAPA	TIGO	1150	1024	190.40
363	6	6	ZACAPA	TIGO	1144	1024	190.40
364	7	7	CHIQUIMULA	TIGO	1145	1024	190.40
2405	8	8	ESQUIPULAS	TIGO	89175	1024	190.40
742	10	10	SALAMA	TIGO	13212	1024	190.40
1908	12	12	COBAN	TIGO	1158	1024	190.40
819	15	15	CHIQUIMULILLA	TIGO	17392	1024	190.40
354	19	19	NUEVA CONCEPCION	TIGO	1156	1024	190.40
370	23	23	SAN PEDRO SAN MARCOS	TIGO	1166	1024	190.40
700	25	250002	SUPERMERCADO LA ESTRELLA	TIGO	12691	1024	190.40
1938	25	250001	MALACATAN	TIGO	58488	1024	190.40
371	26	26	COATEPEQUE	TIGO	1164	1024	190.40
1816	27	27	RETALHULEU	TIGO	1161	1024	190.40
355	28	28	MAZATENANGO	TIGO	1159	1024	190.40
350	34	34	QUETZALTENANGO	TIGO	1162	1024	190.40
1181	37	37	ASUNCION MITA	TIGO	1149	1024	190.40
1659	39	39	POPTUN	TIGO	51000	1024	190.40
2070	40	400001	EMRE PLAYA GRANDE	TIGO	25697	1024	190.40
424	43	43	EL ESTOR	TIGO	2109	1024	190.40
494	48	48	MOYUTA	TIGO	4587	1024	190.40
502	51	51	TEJUTLA	TIGO	4027	1024	190.40
2325	61	61	EL CHAL DOLORES	TIGO	87304	1024	190.40
452	62	62	SAN LUIS	TIGO	2461	2048	280.00
2331	63	63	SAYAXCHE	TIGO	87263	1024	190.40
2335	64	64	LAS CRUCES	TIGO	87264	1024	190.40
414	67	67	MATAQUESCUINTLA	TIGO	2103	1024	190.40
643	76	76	CIUDAD PEDRO DE ALVARADO	TIGO	5123	1024	190.40
478	77	77	SAN JUAN LA LAGUNA	TIGO	3025	1024	190.40
565	81	81	ATESCATEMPA	TIGO	9623	1024	190.40
334	83	83	ESCUINTLA	TIGO	1154	1024	190.40
459	84	84	COMALAPA	TIGO	2699	1024	190.40
422	85	85	QUETZALTEPEQUE	TIGO	2104	1024	190.40
570	86	86	SANTA CATARINA MITA	TIGO	7613	1024	190.40
466	91	91	PALENCIA	TIGO	2819	1024	190.40
1120	94	94	AUTOBANCO LOS AMATES	TIGO	26991	1024	190.40
572	96	96	MIGRACION	TIGO	1434	1024	190.40
351	97	97	HUEHUETENANGO AGENCIA TRIBUTARIA	TIGO	1167	1024	190.40
339	102	102	ADUANA TECUN UMAN	TIGO	1165	1024	190.40
346	104	1040001	ANEXO ADUANA PUERTO BARRIOS	TIGO	1140	1024	190.40
1264	107	107	ADUANA ERMITA	TIGO	30036	1024	190.40
2099	108	108	EL FLORIDO	TIGO	41967	1024	190.40
