Host	% Time Up	% Time Down	% Time Unreachable	% Time Undetermined
Abmsrv	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
AdmonDCR	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Alterno-GBM	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Bio_Cafeteria1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Bio_Cafeteria2	97.574% (97.574%)	2.426% (2.426%)	0.000% (0.000%)	0.000%
Bio_Entrada1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Bio_Entrada2	54.949% (54.949%)	45.051% (45.051%)	0.000% (0.000%)	0.000%
Command-view	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Core	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
CrmApp01	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-1C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-2C3	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C3	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C4	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-4C2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-5C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-6C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-7C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-8C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-9C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-pbC1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-pbC2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
SWIFT	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
