en_proveedor	en_remoto	en_estado	en_nagios	rm_descripcion	rm_region	en_codigo_proveedor	en_fecha_activacion	sl_uptime	sl_downtime	sl_unreachable	sl_undetermined	en_costo_mensual
COLUMBUS	1	7	age001	ANTIGUA GUATEMALA	35	5001297	2013-01-22 00:00:00	99.916	0.084	0	0	526.40
CLARO	10001	7	age001b	RENAP ANTIGUA GUATEMALA	35	8901934	2013-11-02 00:00:00	99.84	0.16	0	0	133.00
COLUMBUS	2	7	age002	BARBERENA	32	5001287	2013-01-31 00:00:00	99.439	0.561	0	0	526.40
TIGO	3	7	age003	JALAPA	5	1152	2003-02-12 00:00:00	99.856	0.144	0	0	190.40
TIGO	30001	7	age003b	RENAP JALAPA	5	30018	2009-08-24 00:00:00	98.598	1.402	0	0	190.40
COLUMBUS	4	7	age004	JUTIAPA	4	5001305	2013-01-23 00:00:00	99.818	0.182	0	0	526.40
CLARO	5	7	age005	GUASTATOYA	41	8900279	2000-04-19 00:00:00	99.905	0.095	0	0	133.00
CLARO	50001	7	age005b	RENAP GUASTATOYA	41	8900697	2009-08-24 00:00:00	99.787	0.213	0	0	133.00
TIGO	6	7	age006	ZACAPA	7	1144	2003-02-13 00:00:00	99.934	0.066	0	0	190.40
CLARO	60001	7	age006b	RENAP ZACAPA	7	8900704	2009-08-24 00:00:00	100	0	0	0	133.00
TIGO	7	7	age007	CHIQUIMULA	6	1145	2003-02-13 00:00:00	99.868	0.132	0	0	190.40
COLUMBUS	8	7	age008	ESQUIPULAS	44	5020239	2015-11-09 00:00:00	100	0	0	0	252.00
CLARO	9	7	age009	PUERTO BARRIOS	8	8900307	2006-05-15 00:00:00	99.836	0.164	0	0	133.00
TIGO	10	7	age010	SALAMA	11	13212	2007-08-06 00:00:00	98.162	1.838	0	0	190.40
CLARO	11	7	age011	PANZOS	30	8900629	2008-09-19 00:00:00	98.007	1.993	0	0	133.00
TIGO	12	7	age012	COBAN	10	1158	2012-12-14 00:00:00	98.269	1.731	0	0	190.40
CLARO	13	7	age013	MONJA BLANCA	28	8900237	2000-04-19 00:00:00	99.574	0.426	0	0	133.00
CLARO	14	7	age014	TECPAN	2	8900276	2001-08-28 00:00:00	95.786	4.214	0	0	133.00
COLUMBUS	15	7	age015	CHIQUIMULILLA	3	5001304	2013-01-23 00:00:00	100	0	0	0	526.40
CLARO	16	7	age016	FRAY BARTOLOME DE LAS CASAS	30	8900416	2003-12-20 00:00:00	99.459	0.541	0	0	133.00
CLARO	17	7	age017	SANTA ELENA	9	8900293	2001-03-28 00:00:00	99.412	0.588	0	0	133.00
CLARO	18	7	age018	CHIMALTENANGO	2	8902107	2014-05-12 00:00:00	99.785	0.215	0	0	133.00
TIGO	19	7	age019	NUEVA CONCEPCION	43	1156	2003-02-11 00:00:00	99.805	0.195	0	0	190.40
CLARO	20	7	age020	MELCHOR DE MENCOS	9	8900777	2010-05-07 00:00:00	98.275	1.725	0	0	133.00
CLARO	21	7	age021	TOTONICAPAN	39	8900387	2000-04-19 00:00:00	99.73	0.27	0	0	133.00
COLUMBUS	22	7	age022	SOLOLA	17	5001272	2013-01-23 00:00:00	99.892	0.108	0	0	526.40
TIGO	23	7	age023	SAN PEDRO SAN MARCOS	15	1166	2003-02-19 00:00:00	97.145	2.855	0	0	190.40
